+ Add Milestone,+ បន្ថែមព្រឹត្តិការណ៍សំខាន់
+ Create Task,+ បង្កើតភារកិច្ច
+ Log Time,+ កត់ត្រាពេលវេលា
-- Select a project --,-- ជ្រើសរើសគម្រោង --
0m,០ន
1 day,១ ថ្ងៃ
1 day ago,១ ថ្ងៃមុន
1 dependency,១ ភាពអាស្រ័យ
1 entry,១ បញ្ជី
1 file,១ ឯកសារ
1 hour ago,១ ម៉ោងមុន
1 member,១ សមាជិក
1 milestone,១ ព្រឹត្តិការណ៍សំខាន់
1 month,១ ខែ
1 task,១ ភារកិច្ច
< 1m,< ១ន
"A clear, actionable title for the task",ចំណងជើងច្បាស់លាស់ និងអាចអនុវត្តបានសម្រាប់ភារកិច្ច
A client with email {0} already exists: {1},អតិថិជនដែលមានអ៊ីមែល {0} មានរួចហើយ: {1}
A key deliverable or checkpoint for the project,លទ្ធផលសំខាន់ ឬចំណុចត្រួតពិនិត្យសម្រាប់គម្រោង
Accept,ទទួលយក
Accepted,បានទទួលយក
Acknowledge,ទទួលស្គាល់
across,ឆ្លងកាត់
Action,សកម្មភាព
Actions,សកម្មភាពនានា
Active,សកម្ម
Active Assignments,ការចាត់តាំងសកម្ម
Active Projects,គម្រោងសកម្ម
Activity,សកម្មភាព
Activity data deleted successfully,ទិន្នន័យសកម្មភាពត្រូវបានលុបដោយជោគជ័យ
Activity Info,ព័ត៌មានសកម្មភាព
Activity Stats,ស្ថិតិសកម្មភាព
Activity will appear here as you work on tasks and projects.,សកម្មភាពនឹងបង្ហាញនៅទីនេះពេលអ្នកធ្វើការលើភារកិច្ច និងគម្រោង។
Actual,ជាក់ស្ដែង
Actual Cost,ថ្លៃដើមជាក់ស្ដែង
Actual cost cannot be negative,ថ្លៃដើមជាក់ស្ដែងមិនអាចជាអវិជ្ជមានបានទេ
Actual end date cannot be before actual start date,កាលបរិច្ឆេទបញ្ចប់ជាក់ស្ដែងមិនអាចមុនកាលបរិច្ឆេទចាប់ផ្ដើមជាក់ស្ដែងបានទេ
Actual Hours,ម៉ោងជាក់ស្ដែង
Add,បន្ថែម
Add a checklist item...,បន្ថែមធាតុបញ្ជីត្រួតពិនិត្យ...
Add a comment...,បន្ថែមមតិយោបល់...
Add a comment... (Ctrl+Enter to send),បន្ថែមមតិយោបល់... (Ctrl+Enter ដើម្បីផ្ញើ)
Add a description...,បន្ថែមការពិពណ៌នា...
Add a milestone description...,បន្ថែមការពិពណ៌នាព្រឹត្តិការណ៍សំខាន់...
Add a note below to annotate this activity.,បន្ថែមកំណត់ចំណាំខាងក្រោមដើម្បីធ្វើចំណារកថានៃសកម្មភាពនេះ។
Add a note...,បន្ថែមកំណត់ចំណាំ...
Add a project description...,បន្ថែមការពិពណ៌នាគម្រោង...
Add a task description...,បន្ថែមការពិពណ៌នាភារកិច្ច...
Add checklist item...,បន្ថែមធាតុបញ្ជីត្រួតពិនិត្យ...
Add Contact,បន្ថែមទំនាក់ទំនង
Add contacts via the Desk interface or clear filters,បន្ថែមទំនាក់ទំនងតាមរយៈចំណុចប្រទាក់ Desk ឬលុបតម្រង
Add Dependency,បន្ថែមភាពអាស្រ័យ
Add details about this event...,បន្ថែមព័ត៌មានលម្អិតអំពីព្រឹត្តិការណ៍នេះ...
Add details about this milestone...,បន្ថែមព័ត៌មានលម្អិតអំពីព្រឹត្តិការណ៍សំខាន់នេះ...
Add details about this task...,បន្ថែមព័ត៌មានលម្អិតអំពីភារកិច្ចនេះ...
Add details or acceptance criteria for this milestone,បន្ថែមព័ត៌មានលម្អិត ឬលក្ខណៈវិនិច្ឆ័យទទួលយកសម្រាប់ព្រឹត្តិការណ៍សំខាន់នេះ
"Add details, context, or acceptance criteria",បន្ថែមព័ត៌មានលម្អិត បរិបទ ឬលក្ខណៈវិនិច្ឆ័យទទួលយក
Add first dependency,បន្ថែមភាពអាស្រ័យដំបូង
Add item,បន្ថែមធាតុ
Add items below to track progress.,បន្ថែមធាតុខាងក្រោមដើម្បីតាមដានវឌ្ឍនភាព។
Add items below to track subtasks,បន្ថែមធាតុខាងក្រោមដើម្បីតាមដានភារកិច្ចរង
Add Milestone,បន្ថែមព្រឹត្តិការណ៍សំខាន់
Add Milestone (Shift+M),បន្ថែមព្រឹត្តិការណ៍សំខាន់ (Shift+M)
Add milestones to track key deliverables.,បន្ថែមព្រឹត្តិការណ៍សំខាន់ដើម្បីតាមដានលទ្ធផលសំខាន់។
Add New Contact,បន្ថែមទំនាក់ទំនងថ្មី
Add Note,បន្ថែមកំណត់ចំណាំ
Add note,បន្ថែមកំណត់ចំណាំ
Add notes about this contact...,បន្ថែមកំណត់ចំណាំអំពីទំនាក់ទំនងនេះ...
Add reaction,បន្ថែមប្រតិកម្ម
Add Skill,បន្ថែមជំនាញ
Add start and due dates to tasks to see them on the Gantt chart,បន្ថែមកាលបរិច្ឆេទចាប់ផ្ដើម និងផុតកំណត់ទៅភារកិច្ចដើម្បីមើលពួកវានៅលើតារាង Gantt
Add Task,បន្ថែមភារកិច្ច
